group,Hex,Length,Weight
sjscarf2,7B65,77,4.5
sjscarf2,751A,80,5.4
sjscarf2,7A57,78,5.4
sjscarf2,7A2B,77,4.9
sjscarf2,73A5,76,4.5
sjscarf2,7AB2,77,4.7
sjscarf2,73B5,79,4.8
sjscarf2,7B6D,75,4.4
sjscarf2,72A2,76,4.8
sjscarf2,74E9,80,5.6
sjscarf2,7AD7,75,4.7
sjscarf2,76A8,75,4.5
sjscarf2,7652,76,4.6
sjscarf2,769A,80,5.4
sjscarf2,8356,74,4.2
sjscarf2,74A9,75,4.5
sjscarf2,7951,81,6
sjscarf2,7550,77,4.8
sjscarf2,7599,78,5.6
sjscarf2,7A96,83,6.5
sjscarf2,76B7,78,5.2
sjscarf2,82AC,76,4.6
sjscarf2,7752,74,4.3
sjscarf2,7245,74,4.5
sjscarf2,7558,75,4.5
sjscarf2,8294,77,4.9
sjscarf2,756B,75,4.5
sjscarf2,7AF5,76,4.9
sjscarf2,74F5,75,4.5
sjscarf2,7CAB,76,4.9
sjscarf2,7A65,80,5.9
sjscarf2,736B,75,4.6
sjscarf2,754F,72,4.3
sjscarf2,7275,76,4.8
sjscarf2,72AB,74,4.5
sjscarf2,7D45,73,4.3
sjscarf2,7375,76,4.6
sjscarf2,76CB,76,4.8
sjscarf2,78B5,77,5.1
sjscarf2,775D,75,4.9
sjscarf2,7BAD,79,5.5
sjscarf2,7D95,76,4.3
sjscarf2,7499,75,4.6
sjscarf2,7715,74,4.6
sjscarf2,753A,78,5.2
sjscarf2,7551,79,5.4
sjscarf2,7A55,76,4.7
sjscarf2,74C9,79,5.7
sjscarf2,7B29,75,5
sjscarf2,7294,75,5
sjscarf2,7494,81,5.5
sjscarf2,7AB6,76,4.6
sjscarf2,72A6,74,4.2
sjscarf2,75A2,75,4.5
sjscarf2,7D56,74,4.8
sjscarf2,test,72,4.2
sjscarf2,7349,76,4.4
sjscarf2,72D7,73,4.3
sjscarf2,7495,76,4.8
sjscarf2,796D,76,4.8
sjscarf2,75F5,72,4.6
sjscarf2,75B1,74,4.4
sjscarf2,772A,74,4.6
sjscarf2,74A1,81,6.2
sjscarf2,75AE,78,5.3
sjscarf2,75DB,80,5.7
sjscarf2,7AAC,77,4.9
sjscarf2,72CA,78,5.1
sjscarf2,758A,77,5.3
sjscarf2,76DD,78,4.9
sjscarf2,7CB5,78,6.3
sjscarf2,7615,77,5.3
sjscarf2,7654,73,4.5
sjscarf2,832A,79,5.3
sjscarf2,75BD,74,4.6
sjscarf2,72E5,75,4.7
sjscarf2,74AE,79,5.4
sjscarf2,82AE,76,4.4
sjscarf2,7415,77,4.3
sjscarf2,7557,75,4.3
sjscarf2,7459,75,4.4
sjscarf2,7CA5,78,4.3
sjscarf2,7B15,77,4.9
sjscarf2,7A2D,78,5.2
sjscarf2,7325,76,4.5
sjscarf2,82BA,73,4.3
sjscarf2,7692,77,4.4
sjscarf2,76EB,77,4.5
sjscarf2,815A,77,4.3
sjscarf2,7577,78,4.4
sjscarf2,8152,77,4.9
sjscarf2,7ADB,78,4.7
sjscarf2,7296,78,4.9
sjscarf2,7A51,77,4.7
sjscarf2,7DA9,81,5.4
sjscarf2,768A,79,5.3
sjscarf2,7591,76,4.5
sjscarf2,74A7,76,4.6
sjscarf2,836A,80,5.3
sjscarf2,7635,79,5.2
sjscarf2,7B5A,78,4.6
sjscarf2,8255,77,4.5
sjscarf2,79AD,79,4.8
sjscarf2,734D,78,5.5
sjscarf2,758B,77,5.2
sjscarf2,7AE9,76,5.1
sjscarf2,7756,77,5.2
sjscarf2,7A95,77,5.4
sjscarf2,7519,74,4.8
sjscarf2,82D2,77,5.4
sjscarf2,7A85,75,5.1
sjscarf2,7675,80,5.6
sjscarf2,78D5,77,5
sjscarf2,7537,83,6.6
sjscarf2,76BD,82,6.3
sjscarf2,75BA,76,5.3
sjscarf2,7685,76,5.3
sjscarf2,72D1,75,4.7
sjscarf2,722D,74,4.8
sjscarf2,7AB9,74,4.6
sjscarf2,76D3,78,5.5
sjscarf2,754D,76,5.1
sjscarf2,74DD,76,5.1
sjscarf2,7AD3,79,5.7
sjscarf2,74B7,72,4.4
sjscarf2,7265,75,5.2
sjscarf2,7B4B,75,5.1
sjscarf2,7ABD,76,4.5
sjscarf2,76B6,73,4.5
sjscarf2,794B,75,4.5
sjscarf2,774A,74,4.1
sjscarf2,7A94,74,4.1
sjscarf2,7ACD,75,4.2
sjscarf2,7299,82,6.1
sjscarf2,7B49,82,6.2
sjscarf2,75D1,76,4.8
sjscarf2,75AC,78,5.2
sjscarf2,7A5B,78,5.2
sjscarf2,7522,76,4.6
