"date","time","sensor_20","datetime"
2017-03-02,"1915",33400,2017-03-02 19:15:00
2017-03-02,"1930",33300,2017-03-02 19:30:00
2017-03-02,"1945",33400,2017-03-02 19:45:00
2017-03-02,"2000",33300,2017-03-02 20:00:00
2017-03-02,"2015",33400,2017-03-02 20:15:00
2017-03-02,"2030",33400,2017-03-02 20:30:00
2017-03-02,"2045",33300,2017-03-02 20:45:00
2017-03-02,"2100",33400,2017-03-02 21:00:00
2017-03-02,"2115",33400,2017-03-02 21:15:00
2017-03-02,"2130",33300,2017-03-02 21:30:00
2017-03-02,"2145",33300,2017-03-02 21:45:00
2017-03-02,"2200",33300,2017-03-02 22:00:00
2017-03-02,"2215",33300,2017-03-02 22:15:00
2017-03-02,"2230",33300,2017-03-02 22:30:00
2017-03-02,"2245",33400,2017-03-02 22:45:00
2017-03-02,"2300",33200,2017-03-02 23:00:00
2017-03-02,"2315",33300,2017-03-02 23:15:00
2017-03-02,"2330",33300,2017-03-02 23:30:00
2017-03-02,"2345",33200,2017-03-02 23:45:00
2017-03-03,"0000",33200,2017-03-03 00:00:00
2017-03-03,"0015",33300,2017-03-03 00:15:00
2017-03-03,"0030",33300,2017-03-03 00:30:00
2017-03-03,"0045",33200,2017-03-03 00:45:00
2017-03-03,"0100",33200,2017-03-03 01:00:00
2017-03-03,"0115",33200,2017-03-03 01:15:00
2017-03-03,"0130",33200,2017-03-03 01:30:00
2017-03-03,"0145",33200,2017-03-03 01:45:00
2017-03-03,"0200",33300,2017-03-03 02:00:00
2017-03-03,"0215",33200,2017-03-03 02:15:00
2017-03-03,"0230",33200,2017-03-03 02:30:00
2017-03-03,"0245",33200,2017-03-03 02:45:00
2017-03-03,"0300",33200,2017-03-03 03:00:00
2017-03-03,"0315",33100,2017-03-03 03:15:00
2017-03-03,"0330",33200,2017-03-03 03:30:00
2017-03-03,"0345",33100,2017-03-03 03:45:00
2017-03-03,"0400",33200,2017-03-03 04:00:00
2017-03-03,"0415",33100,2017-03-03 04:15:00
2017-03-03,"0430",33200,2017-03-03 04:30:00
2017-03-03,"0445",33100,2017-03-03 04:45:00
2017-03-03,"0500",33100,2017-03-03 05:00:00
2017-03-03,"0515",33100,2017-03-03 05:15:00
2017-03-03,"0530",33100,2017-03-03 05:30:00
2017-03-03,"0545",33100,2017-03-03 05:45:00
2017-03-03,"0600",33100,2017-03-03 06:00:00
2017-03-03,"0615",33100,2017-03-03 06:15:00
2017-03-03,"0630",33100,2017-03-03 06:30:00
2017-03-03,"0645",33100,2017-03-03 06:45:00
2017-03-03,"0700",NA,2017-03-03 07:00:00
2017-03-03,"0715",33100,2017-03-03 07:15:00
2017-03-03,"0730",33100,2017-03-03 07:30:00
2017-03-03,"0745",33100,2017-03-03 07:45:00
2017-03-03,"0800",33100,2017-03-03 08:00:00
2017-03-03,"0815",33100,2017-03-03 08:15:00
2017-03-03,"0830",33000,2017-03-03 08:30:00
2017-03-03,"0845",33000,2017-03-03 08:45:00
2017-03-03,"0900",33000,2017-03-03 09:00:00
2017-03-03,"0915",33100,2017-03-03 09:15:00
2017-03-03,"0930",33000,2017-03-03 09:30:00
2017-03-03,"0945",33000,2017-03-03 09:45:00
2017-03-03,"1000",33000,2017-03-03 10:00:00
2017-03-03,"1015",33100,2017-03-03 10:15:00
2017-03-03,"1030",33100,2017-03-03 10:30:00
2017-03-03,"1045",33000,2017-03-03 10:45:00
2017-03-03,"1100",33000,2017-03-03 11:00:00
2017-03-03,"1115",33000,2017-03-03 11:15:00
2017-03-03,"1130",33000,2017-03-03 11:30:00
2017-03-03,"1145",33000,2017-03-03 11:45:00
2017-03-03,"1200",33000,2017-03-03 12:00:00
2017-03-03,"1215",33000,2017-03-03 12:15:00
2017-03-03,"1230",32900,2017-03-03 12:30:00
2017-03-03,"1245",33000,2017-03-03 12:45:00
2017-03-03,"1300",33000,2017-03-03 13:00:00
2017-03-03,"1315",33000,2017-03-03 13:15:00
2017-03-03,"1330",33000,2017-03-03 13:30:00
2017-03-03,"1345",32900,2017-03-03 13:45:00
2017-03-03,"1400",33000,2017-03-03 14:00:00
2017-03-03,"1415",32900,2017-03-03 14:15:00
2017-03-03,"1430",32900,2017-03-03 14:30:00
2017-03-03,"1445",33000,2017-03-03 14:45:00
2017-03-03,"1500",32800,2017-03-03 15:00:00
2017-03-03,"1515",32900,2017-03-03 15:15:00
2017-03-03,"1530",32800,2017-03-03 15:30:00
2017-03-03,"1545",32900,2017-03-03 15:45:00
2017-03-03,"1600",32900,2017-03-03 16:00:00
2017-03-03,"1615",32900,2017-03-03 16:15:00
2017-03-03,"1630",32900,2017-03-03 16:30:00
2017-03-03,"1645",32900,2017-03-03 16:45:00
2017-03-03,"1700",32900,2017-03-03 17:00:00
2017-03-03,"1715",33000,2017-03-03 17:15:00
2017-03-03,"1730",32900,2017-03-03 17:30:00
2017-03-03,"1745",32900,2017-03-03 17:45:00
2017-03-03,"1800",32800,2017-03-03 18:00:00
2017-03-03,"1815",32800,2017-03-03 18:15:00
2017-03-03,"1830",32800,2017-03-03 18:30:00
2017-03-03,"1845",32900,2017-03-03 18:45:00
2017-03-03,"1900",32900,2017-03-03 19:00:00
2017-03-03,"1915",32800,2017-03-03 19:15:00
2017-03-03,"1930",32900,2017-03-03 19:30:00
2017-03-03,"1945",32900,2017-03-03 19:45:00
2017-03-03,"2000",32900,2017-03-03 20:00:00
2017-03-03,"2015",32900,2017-03-03 20:15:00
2017-03-03,"2030",32800,2017-03-03 20:30:00
2017-03-03,"2045",33000,2017-03-03 20:45:00
2017-03-03,"2100",32800,2017-03-03 21:00:00
2017-03-03,"2115",32800,2017-03-03 21:15:00
2017-03-03,"2130",32900,2017-03-03 21:30:00
2017-03-03,"2145",32900,2017-03-03 21:45:00
2017-03-03,"2200",32800,2017-03-03 22:00:00
2017-03-03,"2215",33000,2017-03-03 22:15:00
2017-03-03,"2230",32800,2017-03-03 22:30:00
2017-03-03,"2245",32900,2017-03-03 22:45:00
2017-03-03,"2300",32900,2017-03-03 23:00:00
2017-03-03,"2315",32800,2017-03-03 23:15:00
2017-03-03,"2330",32900,2017-03-03 23:30:00
2017-03-03,"2345",32800,2017-03-03 23:45:00
2017-03-04,"0000",32800,2017-03-04 00:00:00
2017-03-04,"0015",32800,2017-03-04 00:15:00
2017-03-04,"0030",32800,2017-03-04 00:30:00
2017-03-04,"0045",32800,2017-03-04 00:45:00
2017-03-04,"0100",32800,2017-03-04 01:00:00
2017-03-04,"0115",32900,2017-03-04 01:15:00
2017-03-04,"0130",32800,2017-03-04 01:30:00
2017-03-04,"0145",32800,2017-03-04 01:45:00
2017-03-04,"0200",32800,2017-03-04 02:00:00
2017-03-04,"0215",32800,2017-03-04 02:15:00
2017-03-04,"0230",32800,2017-03-04 02:30:00
2017-03-04,"0245",32800,2017-03-04 02:45:00
2017-03-04,"0300",32800,2017-03-04 03:00:00
2017-03-04,"0315",32800,2017-03-04 03:15:00
2017-03-04,"0330",32800,2017-03-04 03:30:00
2017-03-04,"0345",32800,2017-03-04 03:45:00
2017-03-04,"0400",32800,2017-03-04 04:00:00
2017-03-04,"0415",32800,2017-03-04 04:15:00
2017-03-04,"0430",32800,2017-03-04 04:30:00
2017-03-04,"0445",32800,2017-03-04 04:45:00
2017-03-04,"0500",32800,2017-03-04 05:00:00
2017-03-04,"0515",32800,2017-03-04 05:15:00
2017-03-04,"0530",32800,2017-03-04 05:30:00
2017-03-04,"0545",32800,2017-03-04 05:45:00
2017-03-04,"0600",32800,2017-03-04 06:00:00
2017-03-04,"0615",32800,2017-03-04 06:15:00
2017-03-04,"0630",32800,2017-03-04 06:30:00
2017-03-04,"0645",32800,2017-03-04 06:45:00
2017-03-04,"0700",32800,2017-03-04 07:00:00
2017-03-04,"0715",32800,2017-03-04 07:15:00
2017-03-04,"0730",32800,2017-03-04 07:30:00
2017-03-04,"0745",32800,2017-03-04 07:45:00
2017-03-04,"0800",32800,2017-03-04 08:00:00
2017-03-04,"0815",32800,2017-03-04 08:15:00
2017-03-04,"0830",32900,2017-03-04 08:30:00
2017-03-04,"0845",32800,2017-03-04 08:45:00
2017-03-04,"0900",32800,2017-03-04 09:00:00
2017-03-04,"0915",32800,2017-03-04 09:15:00
2017-03-04,"0930",32800,2017-03-04 09:30:00
2017-03-04,"0945",32800,2017-03-04 09:45:00
2017-03-04,"1000",32800,2017-03-04 10:00:00
2017-03-04,"1015",32800,2017-03-04 10:15:00
2017-03-04,"1030",32800,2017-03-04 10:30:00
2017-03-04,"1045",32800,2017-03-04 10:45:00
2017-03-04,"1100",32800,2017-03-04 11:00:00
2017-03-04,"1115",32800,2017-03-04 11:15:00
2017-03-04,"1130",32800,2017-03-04 11:30:00
2017-03-04,"1145",32700,2017-03-04 11:45:00
2017-03-04,"1200",32700,2017-03-04 12:00:00
2017-03-04,"1215",32800,2017-03-04 12:15:00
2017-03-04,"1230",32700,2017-03-04 12:30:00
2017-03-04,"1245",32700,2017-03-04 12:45:00
2017-03-04,"1300",32800,2017-03-04 13:00:00
2017-03-04,"1315",32700,2017-03-04 13:15:00
2017-03-04,"1330",32700,2017-03-04 13:30:00
2017-03-04,"1345",32700,2017-03-04 13:45:00
2017-03-04,"1400",32700,2017-03-04 14:00:00
2017-03-04,"1415",32700,2017-03-04 14:15:00
2017-03-04,"1430",32700,2017-03-04 14:30:00
2017-03-04,"1445",32800,2017-03-04 14:45:00
2017-03-04,"1500",32800,2017-03-04 15:00:00
2017-03-04,"1515",32700,2017-03-04 15:15:00
2017-03-04,"1530",32700,2017-03-04 15:30:00
2017-03-04,"1545",32800,2017-03-04 15:45:00
2017-03-04,"1600",32700,2017-03-04 16:00:00
2017-03-04,"1615",32800,2017-03-04 16:15:00
2017-03-04,"1630",32700,2017-03-04 16:30:00
