year,hex,length,weight
2017 Release Fish ,2F6B,80,6.1
2017 Release Fish ,2F6D,81,6.8
2017 Release Fish ,2F75,79,6.1
2017 Release Fish ,2F95,79,5.7
2017 Release Fish ,2FA5,78,6.1
2017 Release Fish ,2FA9,79,5.9
2017 Release Fish ,2FAA,81,6.4
2017 Release Fish ,2FAB,75,5.1
2017 Release Fish ,2FAD,73,4.5
2017 Release Fish ,2FB5,83,6.5
2017 Release Fish ,2FD5,82,6.8
2017 Release Fish ,3055,79,5.8
2017 Release Fish ,3095,82,6.5
2017 Release Fish ,30A5,78,5.7
2017 Release Fish ,30A9,75,5.4
2017 Release Fish ,30AA,76,4.9
2017 Release Fish ,30AB,83,6.9
2017 Release Fish ,30AD,70,5
2017 Release Fish ,30B5,80,6.2
2017 Release Fish ,3115,76,5.1
2017 Release Fish ,3125,80,5.7
2017 Release Fish ,3129,88,8.1
2017 Release Fish ,312B,86,7.4
2017 Release Fish ,312D,71,5.4
2017 Release Fish ,3135,83,7.3
2017 Release Fish ,3145,79,5.9
2017 Release Fish ,3149,73,5.4
2017 Release Fish ,32D9,81,6.8
2017 Release Fish ,32DA,75,5.3
2017 Release Fish ,3452,83,6.7
2017 Release Fish ,3453,79,5.7
2017 Release Fish ,3454,76,5
2017 Release Fish ,3456,83,6.2
2017 Release Fish ,3459,80,7.6
2017 Release Fish ,345B,78,5.4
2017 Release Fish ,345D,73,4.9
2017 Release Fish ,3465,74,5.2
2017 Release Fish ,3469,80,6.3
2017 Release Fish ,346A,77,5
2017 Release Fish ,346D,70,4.5
2017 Release Fish ,3475,74,5.1
2017 Release Fish ,3485,84,6.7
2017 Release Fish ,3489,81,6.9
2017 Release Fish ,348B,89,8.1
2017 Release Fish ,348D,77,6.2
2017 Release Fish ,3491,84,6.8
2017 Release Fish ,3492,78,5.7
2017 Release Fish ,349A,72,4.5
2017 Release Fish ,349B,80,6.3
2017 Release Fish ,362A,85,7.2
2017 Release Fish ,36D7,82,6.5
2017 Release Fish ,3945,78,5.9
2017 Release Fish ,3952,75,5.5
2017 Release Fish ,3A53,78,5.2
2017 Release Fish ,3A54,75,5
2017 Release Fish ,3A55,79,5.7
2017 Release Fish ,3A56,75,4.8
2017 Release Fish ,3A57,79,4.7
2017 Release Fish ,3CAA,81,5.9
2017 Release Fish ,3CAB,77,5
2017 Release Fish ,3CAD,81,7
2017 Release Fish ,3CB5,74,5.6
2017 Release Fish ,3CD5,77,5.7
2017 Release Fish ,3D15,75,5.1
2017 Release Fish ,3D25,77,5.2
2017 Release Fish ,3D2A,82,6.3
2017 Release Fish ,3D35,77,6.1
2017 Release Fish ,3D45,75,4.9
2017 Release Fish ,3D49,76,5.2
2017 Release Fish ,3D4A,78,5.9
2017 Release Fish ,3D4B,86,7.4
2017 Release Fish ,3D4D,76,5.5
2017 Release Fish ,3D51,78,5.25
2017 Release Fish ,3D52,77,5.4
2017 Release Fish ,3D54,75,5.2
2017 Release Fish ,3D56,79,6.3
2017 Release Fish ,3D57,72,4.6
2017 Release Fish ,3D59,75,5.6
2017 Release Fish ,3D5A,75,4.9
2017 Release Fish ,3D5D,76,4.9
2017 Release Fish ,3D6A,77,5.3
2017 Release Fish ,3D6B,80,5.8
2017 Release Fish ,3D6D,78,6
2017 Release Fish ,3D95,80,6.2
2017 Release Fish ,3DA9,76,5
2017 Release Fish ,3DAA,81,6.5
2017 Release Fish ,3DB5,76,4.8
2017 Release Fish ,3.00E+95,84,6.5
2017 Release Fish ,3EA5,74,4.6
2017 Release Fish ,3EAB,73,4.9
2017 Release Fish ,3F55,77,6.1
2017 Release Fish ,4055,76,5.1
2017 Release Fish ,4095,83,6.5
2017 Release Fish ,40AD,78,5.7
2017 Release Fish ,40B5,87,8.3
2017 Release Fish ,40D5,80,5.8
2017 Release Fish ,4115,76,5.4
2017 Release Fish ,4125,79,6.1
2017 Release Fish ,4129,83,6.6
2017 Release Fish ,412A,76,5.4
2017 Release Fish ,412B,76,4.9
